Аэродромный;Аэр/о/дро́м/н/ый.
Адамсия;Ада́мси/я [й/а].

Адаптант;Адапт/а́нт/.

Адаптационный;Адапт/аци/о́нн/ый.

Адаптация;Адапт/а́ци/я [й/а] (приспосабливание).

Авторазливочный;Авто/раз/ли́/в/оч/н/ый.

Авторалли;Авто/ра́лли, нескл., с.

Авторегулятор;Авто/регул/я́тор/.

Авторезина;Авто/рези́н/а.

Авторемонтный;Авто/ремо́нт/н/ый.

Авторессора;Авто/рессо́р/а.

Автореферат;Авто/рефера́т/.

Авторефрижератор;Авто/рефрижера́тор/.

Авторизация;Автор/из/а́ци/я [й/а].

Авторизировать;Автор/из/и́р/ова/ть.

Авторизованный;Автор/из/о́ва/нн/ый.

Авторитарный;Авторита́рн/ый.

Авторитет;Авторите́т/.

Авторитетный;Авторите́т/н/ый.

Автороллер;Авто/ро́ллер/.

Авторота;Авто/ро́т/а.

Авторотация;Авто/рот/а́ци/я [й/а].

Авторский;А́втор/ск/ий.

Авторство;А́втор/ств/о.

Авторулевой;Авто/рул/ев/о́й, -о́го.

Авторучка;Авто/ру́чк/а.

Автосалон;Авто/сало́н/.

Автосамосвал;Авто/сам/о/с/ва́л/.

Автосборка;Авто/с/бо́р/к/а.

Автосборочный;Авто/с/бо́р/оч/н/ый.

Автосервис;Авто/се́рвис/.

Автослесарь;Авто/сле́сарь/.

Автоспорт;Авто/спо́рт/.

Амбра;А́мбр/а.

Амбразура;Амбразу́р/а.

Амбре;Амбре́, нескл., с.

Амбровый;А́мбр/ов/ый.

Амброзия;Амбро́зи/я [й/а].

Амбулатория;Амбулато́ри/я [й/а].

Амбулаторный;Амбулато́р/н/ый.

Амбушюр;Амбушю́р/.

Амвон;Амво́н/.

Американец;Америк/а́н/ец/.

Американизация;Америк/ан/из/а́ци/я [й/а].

Американизированный;Америк/ан/из/и́р/ова/нн/ый.

Американизм;Америк/ан/и́зм/.

Американист;Америк/ан/и́ст/.

Американистика;Америк/ан/и́ст/ик/а.

Американка;Америк/а́н/к/а.

Американоидный;Америк/ан/о́ид/н/ый.

Американский;Америк/а́н/ск/ий.

Амёба;Амёб/а.

Амёбиаз;Амёб/иа́з/.

Амёбный;Амёб/н/ый.

Амёбовидный;Амёб/о/ви́д/н/ый.

Амёбоноситель;Амёб/о/нос/и́/тель/.

Амёбообразный;Амёб/о/обра́з/н/ый.

Амёбоцит;Амёб/о/ци́т/.

Анаграммный;Ана/гра́мм/н/ый.

Анаконда;Анако́нд/а.

Анакреонтика;Анакрео́нт/ик/а.

Анакреонтический;Анакреонт/и́ч/еск/ий.

Анализ;Ана́лиз/.

Анализатор;Анализ/а́тор/.

Анализаторский;Анализ/а́тор/ск/ий.

Анализирование;Анализ/и́р/ова/ни/е [й/э].

Анализированный;Анализ/и́р/ова/нн/ый.

Аналитик;Анали́т/ик/.

Аналитика;Анали́т/ик/а.

Аналитический;Аналит/и́ческ/ий.

Аналог;Ана́лог/.

Аналогизирование;Аналог/из/и́р/ова/ни/е [й/э].

Аналогизировать;Аналог/из/и́р/ова/ть.

Аналогический;Аналог/и́ческ/ий.

Аналогичный;Аналог/и́чн/ый.

Аналогия;Анало́ги/я [й/а].

Аналоговый;Ана́лог/ов/ый.

Аналой;Анало́й/.

Аналойный;Анало́й/н/ый.

Анальгетик;Анальг/е́т/ик/.

Анальгетический;Анальг/ет/и́ч/еск/ий.

Анальгин;Анальг/и́н/.

Анальгия;Анальги́/я [й/а].

Анамнез;Ана́мнез/.

Анамнестический;Анамнест/и́ческ/ий.

Атавистический;Атав/ист/и́ческ/ий.

Атавистичный;Атав/ист/и́чн/ый.

Атака;Ата́к/а.

Атакованный;Атак/о́ва/нн/ый.

Атаман;Атама́н/.

Атаманец;Атама́н/ец/.

Атаманить;Атама́н/и/ть.

Атамановец;Атама́н/ов/ец/.

Атаманский;Атама́н/ск/ий.

Атаманство;Атама́н/ств/о.

Атаманствовать;Атама́н/ств/ова/ть.

Атаманша;Атама́н/ш/а.

Атаманщина;Атама́н/щин/а.

Атанде;Ата́нде, неизм.

Атеизм;А/те/и́зм/.

Атеист;А/те/и́ст/.

Атеистический;А/те/ист/и́ческ/ий.

Атеистка;А/те/и́ст/к/а.

Ателье;Ателье́, нескл., с.

Атеросклероз;Атер/о/склер/о́з/.

Атеросклеротический;Атер/о/склер/от/и́ческ/ий.

Атеротромбоз;Атер/о/тромб/о́з/.

Атипический;А/тип/и́ческ/ий.

Атлант;Атла́нт/ (статуя; шейный позвонок).

Атлантический;Атланти́ч/еск/ий.

Атлантозавр;Атлант/о/за́вр/.

Атлас;А́тлас/ (альбом).

Атлас;Атла́с/ (ткань).

Атласистый;Атла́с/ист/ый (от атла́с/).

Автофазировка;Авто/фаз/ир/о́в/к/а.

Автофилия;Авто/фил/и́/я [й/а].

Автофургон;Авто/фурго́н/.

Автохарактеристика;Авто/характер/и́ст/ик/а.

Автохозяйство;Авто/хозя́й/ств/о.

Автохромный;Авто/хро́м/н/ый.

Автохронометраж;Авто/хрон/о/метр/а́ж/.

Автохтон;Автохто́н/.

Автохтонный;Автохто́н/н/ый.

Автоцементовоз;Авто/цемент/о/во́з/.

Автоцистерна;Авто/цисте́рн/а.

Авточас;Авто/ча́с/.

Авточасть;Авто/ча́сть/.

Автошарж;Авто/ша́рж/.

Автошкола;Авто/шко́л/а.

Автоштурман;Авто/шту́рман/.

Автощеповоз;Авто/щеп/о/во́з/.

Автощётка;Авто/щётк/а.

Автоэлектронный;Авто/электр/о́н/н/ый.

Авуары;Авуа́р/ы.

Ага 1;Ага́¹, м. (восточный титул).

Ага 2;Ага́², междом.

Агава;Ага́в/а.

Агама;Ага́м/а (ящерица).

Агами;Ага́ми, нескл., ж. (птица).

Агамия;А/гам/и́/я [й/а].

Агамный;А/га́м/н/ый.

Агамогония;А/гам/о/го́н/и/я [й/а].

Агарный;Ага́р/н/ый.

Адаптер;Ада́пт/ер/.

Адаптивный;Адапт/и́вн/ый.

Адаптированный;Адапт/и́р/ова/нн/ый (от адапт/и́р/ова/ть).

Адаптометр;Адапт/о́/метр/.

Адат;Ада́т/.

Адвентист;Адвент/и́ст/.

Адвербиализация;Адверби/ал/из/а́ци/я [й/а].

Адвербиализироваться;Адверби/ал/из/и́р/ова/ть/ся.

Адвербиальный;Адверби/а́льн/ый.

Адвокат;Адвока́т/.

Адвокатский;Адвока́т/ск/ий.

Адвокатство;Адвока́т/ств/о.

Адвокатствовать;Адвока́т/ств/ова/ть.

Адвокатура;Адвокат/у́р/а.

Адденда;Адде́нд/а.

Адекватный;Адеква́тн/ый.

Аденит;Аден/и́т/.

Аденовирус;Аден/о/ви́рус/.

Аденовирусный;Аден/о/ви́рус/н/ый.

Аденоид;Аден/о́ид/.

Аденокарцинома;Аден/о/карцин/о́м/а.

Аденома;Аден/о́м/а.

Адепт;Аде́пт/.

Адеструктивный;А/де/структ/и́вн/ый.

Аджарец;Аджа́р/ец/.

Аджарка;Аджа́р/к/а.

Аджарский;Аджа́р/ск/ий.

Аджика;Аджи́к/а.

Адиабата;Адиаба́т/а.

Астроспектрограф;Астр/о/спектр/о́/граф/.

Астроспектроскопия;Астр/о/спектр/о/скоп/и́/я [й/а].

Астроспектрофотометрия;Астр/о/спектр/о/фото/ме́тр/и́/я [й/а].

Астросфера;Астр/о/сфе́р/а.

Астротелефотометр;Астр/о/теле/фото́/метр/.

Астрофизика;Астр/о/фи́з/ик/а.

Астрофизический;Астр/о/физ/и́ч/еск/ий.

Астрофотография;Астр/о/фото/гра́ф/и/я [й/а].

Астрофотометр;Астр/о/фото́/метр/.

Астрофотометрия;Астр/о/фото/ме́тр/и́/я [й/а].

Асфальт;Асфа́льт/.

Асфальтен;Асфальт/е́н/.

Асфальтирование;Асфальт/и́р/ова/ни/е [й/э].

Асфальтированный;Асфальт/и́р/ова/нн/ый.

Асфальтировка;Асфальт/ир/о́в/к/а.

Асфальтит;Асфальт/и́т/.

Асфальтный;Асфа́льт/н/ый.

Асфальтобетон;Асфальт/о/бето́н/.

Асфальтобетонный;Асфальт/о/бето́н/н/ый.

Асфальтобетоноукладчик;Асфальт/о/бетон/о/у/кла́д/чик/.

Асфальтобитумный;Асфальт/о/би́ту́м/н/ый.

Асфальтовый;Асфа́льт/ов/ый.

Асфальтоглинобетон;Асфальт/о/глин/о/бето́н/.

Асфальтозавод;Асфальт/о/заво́д/.

Асфальтоподобный;Асфальт/о/подо́б/н/ый.

Асфальтосмеситель;Асфальт/о/с/мес/и́/тель/.

Асфальтоукладчик;Асфальт/о/у/кла́д/чик/.

Ась;Ась, неизм.

Атавизм;Атав/и́зм/.

Агитбригада;Агит/брига́д/а.

Агитвагон;Агит/ваго́н/.

Агитировать;Агит/и́р/ова/ть.

Агитка;Аги́т/к/а.

Агиткампания;Агит/кампа́ни/я [й/а].

Агитколлектив;Агит/коллекти́в/.

Агитмассовый;Агит/ма́сс/ов/ый.

Агитплакат;Агит/плака́т/.

Агитпоезд;Агит/по́езд/.

Агитпоход;Агит/по/хо́д/.

Агитпробег;Агит/про/бе́г/.

Агитпроп;Агит/про́п/.

Агитпропотдел;Агит/проп/от/де́л/.

Агитпункт;Агит/пу́нкт/.

Агитфильм;Агит/фи́льм/.

Агломерат;Агломер/а́т/.

Агломератчик;Агломер/а́т/чик/.

Агломерационный;Агломер/аци/о́нн/ый.

Агломерация;Агломер/а́ци/я [й/а].

Аглопорит;Агло/пор/и́т/.

Аглофабрика;Агло/фа́брик/а.

Агнец;А́гнец/.

Агнозия;Агно́зи/я [й/а].

Агностик;Агно́стик/.

Агностицизм;Агностиц/и́зм/.

Агностический;Агности́ч/еск/ий.

Агонизировать;Агон/из/и́р/ова/ть.

Агонический;Агон/и́ческ/ий.

Агония;Аго́ни/я [й/а].

Антидемократический;Анти/демократ/и́ческ/ий.

Антидепрессант;Анти/депресс/а́нт/.

Антидепрессивный;Анти/депресс/и́вн/ый.

Антидетонатор;Анти/детон/а́тор/.

Антидетонационный;Анти/детон/аци/о́нн/ый.

Антидиалектический;Анти/диалект/и́ч/еск/ий.

Антидот;Анти/д/о́/т/.

Антизапотеватель;Анти/за/пот/е/ва́/тель/.

Антиимпериалистический;Анти/империал/ист/и́ческ/ий.

Антиисторизм;Анти/истор/и́зм/.

Антиисторический;Анти/истор/и́ческ/ий.

Антик;Анти́к/.

Антикатализатор;Анти/катализ/а́тор/.

Антикатод;Анти/като́д/.

Антиква;Анти́кв/а.

Антиквар;Антиква́р/.

Антиквариат;Антиквар/и/а́т/.

Антикварий;Антиква́р/ий/.

Антикварный;Антиква́р/н/ый.

Антиклерикализм;Анти/клерикал/и́зм/.

Антиклерикальный;Анти/клерика́ль/н/ый.

Антиклиналь;Анти/клин/а́ль/ [ср.: син/клин/а́ль/].

Антиклинальный;Анти/клин/а́ль/н/ый.

Антикоагулянт;Анти/коагул/я́нт/.

Антиколониальный;Анти/колони/а́льн/ый.

Антикоммунизм;Анти/коммун/и́зм/.

Антикоммунистический;Анти/коммун/ист/и́ческ/ий.

Антикоррозийный;Анти/коррози́й/н/ый.

Антикоррозионный;Анти/коррози/о́нн/ый.

Антикрепостнический;Анти/крепостн/и́ческ/ий.

Адъективированный;Адъектив/и́р/ова/нн/ый.

Адъективироваться;Адъектив/и́р/ова/ть/ся.

Адъективный;Адъекти́в/н/ый.

Адъюнкт;Адъю́нкт/ (о человеке).

Адъюнкта;Адъю́нкт/а (матем.).

Адъюнктский;Адъю́нкт/ск/ий.

Адъюнктство;Адъю́нкт/ств/о.

Адъюнктура;Адъюнкт/у́р/а.

Адъютант;Адъюта́нт/.

Адъютантский;Адъюта́нт/ск/ий.

Адъютантство;Адъюта́нт/ств/о.

Адыге;Адыге́, нескл. м. и ж.

Адыгейка;Адыге́й/к/а.

Адыгейский;Адыге́й/ск/ий.

Адыгец;Адыге́ц/.

Адыгский;Ады́г/ск/ий.

Аж;Аж, частица.

Ажгон;Ажго́н/.

Ажио;А́жио, нескл., с.

Ажиотаж;Ажиот/а́ж/.

Ажиотировать;Ажиот/и́р/ова/ть.

Ажур 2;Ажу́р², нареч. (бухг.).

Ажурный;Ажу́р/н/ый.

Ажюстировать;Ажюст/и́р/ова/ть.

Аз;Аз/, -а́, мн. аз/ы́, -/о́в.

Азалия;Аза́ли/я [й/а].

Азарин;Азари́н/.

Азарт;Аза́рт/.

Арычный;Ары́ч/н/ый.

Арьергард;Арьер/га́рд/ [ср.: аван/га́рд/].

Арьергардный;Арьер/га́рд/н/ый.

Арьерсцена;Арьер/сце́н/а [ср.: аван/сце́н/а].

Ас;Ас/ (летчик).

Асбест;Асбе́ст/.

Асбестит;Асбест/и́т/.

Асбестобетон;Асбест/о/бето́н/.

Асбестобетонный;Асбест/о/бето́н/н/ый.

Асбестобитум;Асбест/о/би́тум/.

Асбестобитумный;Асбест/о/би́ту́м/н/ый.

Асбестовый;Асбе́ст/ов/ый.

Асбестообогатительный;Асбест/о/о/богат/и́/тельн/ый.

Асбестотеплоизоляционный;Асбест/о/тепл/о/изол/яци/о́нн/ый.

Асбестотермит;Асбест/о/терм/и́т/.

Асбестотехнический;Асбест/о/техн/и́ч/еск/ий.

Асбестофанера;Асбест/о/фане́р/а.

Асбестоцемент;Асбест/о/цеме́нт/.

Асбестоцементный;Асбест/о/цеме́нт/н/ый.

Асбестсодержащий;Асбест/содерж/а́щ/ий.

Асбоволокнит;Асб/о/волокн/и́т/.

Асболит;Асб/о/ли́т/.

Асбопластик;Асб/о/пла́стик/.

Асбостальной;Асб/о/сталь/н/о́й.

Асбофанера;Асб/о/фане́р/а.

Асбоцемент;Асб/о/цеме́нт/.

Асбоцементный;Асб/о/цеме́нт/н/ый.

Асбошифер;Асб/о/ши́фер/.

Асбошлак;Асб/о/шла́к/.

Анты;А́нт/ы.

Анфас;Анфа́с, нареч.

Анфилада;Анфила́д/а.

Анчар;Анча́р/.

Анчоус;Анчо́ус/.

Анчоусный;Анчо́ус/н/ый.

Аншеф;Анше́ф/.

Аншлаг;Аншла́г/.

Аншлаговый;Аншла́г/ов/ый.

Аншлюс;А́ншлюс/.

Аорист;Ао́рист/.

Аористический;Аорист/и́ческ/ий.

Аорта;Ао́рт/а.

Аортальный;Аорт/а́льн/ый.

Аортит;Аорт/и́т/.

Аортный;Ао́рт/н/ый.

Аортовый;Ао́рт/ов/ый.

Апартаменты;Апарта́ме́нт/ы, ед. апарта́ме́нт/.

Апартеид;Апартеи́д/.

Апатит;Апат/и́т/.

Апатитовый;Апат/и́т/ов/ый.

Апатитоносный;Апат/ит/о/но́с/н/ый.

Апатический;А/пат/и́ческ/ий.

Апатичный;А/пат/и́чн/ый.

Апатия;А/па́т/и/я [й/а] [ср.: сим/па́т/и/я, анти/па́т/и/я].

Апачи;Апа́ч/и.

Апаш и;Апаш и — апа́ш/, -а и неизм.

Апекс;А́пекс/.

Апелла;Апе́лл/а.

Апеллент;Апелл/е́нт/.

Ахроматин;А/хром/ат/и́н/.

Ахроматический;А/хром/ат/и́ческ/ий.

Ахроматопсия;А/хром/ат/опс/и́/я [й/а].

Ахтерлюк;Ахтер/лю́к/.

Ахтерпик;Ахтер/пи́к/.

Ахтерштевень;Ахтер/ште́вень/.

Ахти;Ахти́, неизм.

Ацетат;Ацет/а́т/.

Ацетатный;Ацет/а́т/н/ый.

Ацетил;Ацет/и́л/.

Ацетилен;Ацет/ил/е́н/.

Ацетиленовый;Ацет/ил/е́н/ов/ый.

Ацетиленокислородный;Ацет/ил/ен/о/кислоро́д/н/ый.

Ацетилирование;Ацет/ил/и́р/ова/ни/е [й/э].

Ацетилсалициловый;Ацет/ил/салици́л/ов/ый.

Ацетилхлорид;Ацет/ил/хлор/и́д/.

Ацетилцеллюлоза;Ацет/ил/целлюл/о́з/а.

Ацетильный;Ацет/и́ль/н/ый.

Ацетометр;Ацет/о́/метр/.

Ацетон;Ацет/о́н/.

Ацетоновый;Ацет/о́н/ов/ый.

Ацидофилин;Ацид/о/фил/и́н/.

Ацидофилия;Ацид/о/фил/и́/я [й/а].

Ацидофильный;Ацид/о/фи́ль/н/ый.

Ацидофобный;Ацид/о/фо́б/н/ый.

Ациклический;А/цикл/и́ческ/ий.

Ацтек;Ацте́к/.

Ацтекский;Ацте́к/ск/ий.

Ашуг;Ашу́г/.

Ашюзитивный;Ашюзит/и́вн/ый.

Аистник;А́ист/ник/.

Аистовый;А́ист/ов/ый.

Аистообразные;Аист/о/обра́з/н/ые, -ых.

Айва;Айв/а́.

Айвовый;Айв/о́в/ый.

Айда;Айда́, междом.

Айканье;А́й/ка/нь/е [й/э].

Айкать;А́й/ка/ть.

Айкнуть;А́й/к/ну/ть.

Айлант;Айла́нт/.

Аймак;Айма́к/.

Аймаковый;Аймак/о́в/ый.

Аймачный;Айма́ч/н/ый.

Айран;Айра́н/.

Айрол;Айро́л/.

Айсберг;А́йсберг/.

Айсинг;А́йсинг/.

Айсор;Айсо́р/.

Айсорка;Айсо́р/к/а.

Айсорский;Айсо́р/ск/ий.

Академгородок;Академ/город/о́к/.

Академизм;Академ/и́зм/.

Академик;Акаде́м/ик/.

Академический;Академ/и́ческ/ий.

Академичный;Академ/и́чн/ый.

Академия;Акаде́ми/я [й/а].

Акажу;Акажу́, нескл., с.

Акант;Ака́нт/.

Аванзал;Аван/за́л/.

Аванкамера;Аван/ка́мер/а.

Аванложа;Аван/ло́ж/а.

Аванпорт;Аван/по́рт/.

Аванпост;Аван/по́ст/.

Аванпостный;Аван/по́ст/н/ый.

Аванрейд;Аван/ре́йд/.

Аванс;Ава́нс/.

Авансирование;Аванс/и́р/ова/ни/е [й/э].

Авансированный;Аванс/и́р/ова/нн/ый.

Авансовый;Ава́нс/ов/ый.

Авансодатель;Аванс/о/да́/тель/.

Авансодержатель;Аванс/о/держ/а́/тель/.

Авансом;Ава́нс/ом нареч.

Авансцена;Аван/сце́н/а [ср.: арьер/сце́н/а].

Авантаж;Аванта́ж/.

Авантажный;Аванта́ж/н/ый.

Авантитул;Аван/ти́тул/.

Авантюра;Авантю́р/а.

Авантюризм;Авантюр/и́зм/.

Авантюрист;Авантюр/и́ст/.

Авантюристический;Авантюр/ист/и́ческ/ий.

Авантюристка;Авантюр/и́ст/к/а.

Авантюристский;Авантюр/и́ст/ск/ий.

Авантюрный;Авантю́р/н/ый.

Авар;Ава́р/.

Аварец;Ава́р/ец/.

Аварийно;Авари́й/н/о.

Аварийный;Авари́й/н/ый.

Архиплут;Архи/плу́т/.

Архиреакционный;Архи/реакци/о́нн/ый.

Архисерьёзный;Архи/серьёз/н/ый.

Архисложный;Архи/сло́жн/ый.

Архисовременный;Архи/со/врем/е́н/н/ый.

Архитектоника;Архитекто́ник/а.

Архитектонический;Архитектони́ч/еск/ий.

Архитектоничный;Архитектони́ч/н/ый.

Архитектор;Архите́кт/ор/.

Архитекторский;Архите́кт/ор/ск/ий.

Архитектура;Архитект/у́р/а.

Архитектурный;Архитект/у́р/н/ый.

Архитрав;Архитра́в/.

Архифонема;Архи/фон/е́м/а.

Архозавр;Арх/о/за́вр/.

Арча;Арч/а́.

Арчинец;Арчи́н/ец/.

Арчинка;Арчи́н/к/а.

Арчинский;Арчи́н/ск/ий.

Арчовник;Арч/о́в/ник/.

Арчовый;Арч/о́в/ый.

Аршин;Арши́н/.

Аршинник;Арши́н/ник/.

Аршинный;Арши́н/н/ый.

Арык;Ары́к/.

Аннотирование;Аннот/и́р/ова/ни/е [й/э].

Аннотированный;Аннот/и́р/ова/нн/ый.

Аннулирование;Аннул/и́р/ова/ни/е [й/э].

Аннулированный;Аннул/и́р/ова/нн/ый.

Аннуляция;Аннул/я́ци/я [й/а].

Анод;Ано́д/.

Анодирование;Анод/и́р/ова/ни/е [й/э].

Анодный;Ано́д/н/ый.

Аномалия;Анома́ли/я [й/а].

Аномальный;Анома́ль/н/ый.

Аноним;Ан/они́м/.

Анонимка;Ан/они́м/к/а.

Анонимный;Ан/они́м/н/ый.

Анонимщик;Ан/они́м/щик/.

Анонс;Ано́нс/.

Анонсированный;Анонс/и́р/ова/нн/ый.

Анормальный;А/норм/а́льн/ый.

Ансамблевый;Анса́мбл/ев/ый.

Ансамбль;Анса́мбль/.

Антагонизм;Антагон/и́зм/.

Антагонист;Антагон/и́ст/.

Антагонистический;Антагон/ист/и́ческ/ий.

Антагонистичный;Антагон/ист/и́чн/ый.

Антагонистка;Антагон/и́ст/к/а.

Автооператор;Авто/опер/а́тор/.

Автопавильон;Авто/павильо́н/.

Автопансионат;Авто/пансион/а́т/.

Автопарк;Авто/па́рк/.

Автопассажир;Авто/пассажи́р/.

Автопассажирский;Авто/пассажи́р/ск/ий.

Автопатруль;Авто/патру́ль/.

Автоперевозка;Авто/пере/во́з/к/а.

Автопередвижка;Авто/пере/дви́ж/к/а.

Автопередвижной;Авто/пере/движ/н/о́й.

Автопилот;Авто/пило́т/.

Автопластика;Авто/пла́ст/ик/а.

Автоплуг;Авто/плу́г/.

Автопогрузчик;Авто/по/гру́з/чик/.

Автоподзавод;Авто/под/за/во́д/.

Автоподстройка;Авто/под/стро́й/ка.

Автоподъёмник;Авто/подъём/ник/.

Автопоезд;Авто/по́езд/.

Автопоилка;Авто/по/и́/л/к/а.

Автопокрышка;Авто/по/кры́/ш/к/а.

Автопортрет;Авто/портре́т/.

Автопреобразователь;Авто/пре/образова́/тель/.

Автопробег;Авто/про/бе́г/.

Автопрокат;Авто/про/ка́т/.

Автопрокладчик;Авто/про/кла́д/чик/.

Автопромышленность;Авто/промы́шл/енн/ость/.

Автор;А́втор/.

Авторадиограмма;Авто/радио/гра́мм/а.

Авторадиография;Авто/рад/и/о/гра́ф/и/я [й/а].

Авторазгрузчик;Авто/раз/гру́з/чик/.

Альфаметр;Альфа/ме́тр/.

Альфатрон;Альфа/тро́н/.

Альфонс;Альфо́нс/.

Альфреско;Альфре́ско, неизм.

Альянс;Алья́нс/.

Алюминат;Алюмин/а́т/.

Алюминиевый;Алюми́н/и/ев/ый.

Алюминий;Алюми́н/ий/.

Алюминийорганический;Алюмин/ий/орган/и́ч/еск/ий.

Алюминон;Алюмин/о́н/.

Алюминотермия;Алюмин/о/терм/и́/я [й/а].

Алюмоаммонийный;Алюм/о/аммон/и́й/н/ый.

Алюмокалиевый;Алюм/о/ка́л/и/ев/ый.

Алюмомедь;Алюм/о/ме́дь/.

Алюмосиликат;Алюм/о/силика́т/.

Алюмосиликатный;Алюм/о/силика́т/н/ый.

Аляповатый;Аляпова́т/ый.

Арматурщица;Арм/ат/у́р/щиц/а.

Армеец;Арме́/ец/.

Армейский;Арме́й/ск/ий.

Арменист;Армен/и́ст/.

Арменистика;Армен/и́ст/ик/а.

Армирование;Арм/и́р/ова/ни/е [й/э].

Армированный;Арм/и́р/ова/нн/ый.

Армировка;Арм/ир/о́в/к/а.
